rank,name,,code,fl_bg,fl_fg,fl_all,density,runtime,environment,is_cpu,is_multicore,is_gpu
42,unscene,,,16.93,23.34,18,100,0.08,1 core @ 2.5 Ghz (C/C++),1,,
43,AugFNG_ROB,,,19.77,9.95,18.14,100,0.1,1 core @ 3.5 Ghz (C/C++),1,,
44,PCOF-LDOF,,,14.34,38.32,18.33,100,50,1 core @ 3.0 Ghz (C/C++),1,,
45,test2,,,18.28,20.39,18.63,100,30,1 core @ 2.5 Ghz (C/C++),1,,
46,test,,,18.28,20.39,18.63,100,60,1 core @ 2.5 Ghz (C/C++),1,,
47,FlowFieldCNN,,,18.33,20.42,18.68,100,23,GPU/CPU 4 core @ 3.5 Ghz (C/C++),,,1
48,RicFlow,,,18.73,19.09,18.79,100,5,1 core @ 3.5 Ghz (C/C++),1,,
49,EAI-Flow,,,18.05,26.23,19.41,100,4.5,2 cores @ 3.0 Ghz (Python + C/C++),,1,
50,PGM-G,,,18.9,23.43,19.66,100,5.05,1 core @ 3.1 Ghz (C/C++),1,,
51,BDPPM,,,19.25,22.21,19.74,100,3,1 core @ 3.5 Ghz (C/C++),1,,
52,FlowFields+,,,19.51,21.26,19.8,100,28,1 core @ 3.5 Ghz (C/C++),1,,
53,PMPM,,,19.36,22.19,19.83,100,1.1,1 core @ 3.5 Ghz (C/C++),1,,
54,t3,,,19.8,22.13,20.18,100,30,1 core @ 2.5 Ghz (C/C++),1,,
55,Devon,,,19.43,26.59,20.62,100,0.01,GPU @ 2.5 Ghz (C/C++),,,1
56,PatchBatch,,code,19.98,26.5,21.07,100,50,GPU @ 2.5 Ghz (Python),,,1
57,DDF,,code,20.36,25.19,21.17,100,60,GPU @ 2.5 Ghz (C/C++),,,1
58,SODA-Flow,,,20.01,29.14,21.53,100,96,2 cores @ 3.5 Ghz (C/C++),,1,
59,UnDepFlow,,,20.61,26.32,21.56,100,0.05,GPU @ 2.5 Ghz (Python),,,1
60,DiscreteFlow,,code,21.53,21.76,21.57,100,180,1 core @ 2.5 Ghz (Matlab + C/C++),1,,
61,SGM+SF,,,20.91,25.5,21.67,100,2700,16 core @ 3.2 Ghz (C/C++),,1,
62,OAR-Flow,,,20.62,27.67,21.79,100,100,2 cores @ 3.5 Ghz (C/C++),,1,
63,CPM-Flow,,code,22.32,22.81,22.4,100,4.2,1 core @ 3.5 Ghz (C/C++),1,,
64,PCOF + ACTF,,,14.89,60.15,22.43,100,0.08,GPU @ 2.0 Ghz (C/C++),,,1
65,IntrpNt-df,,code,22.15,26.03,22.8,100,180,GPU @ 2.5 Ghz (Python),,,1
66,SGM&FlowFie+,,,22.83,22.75,22.82,81.24,29,1 core @ 3.5 Ghz (C/C++),1,,
67,Back2FutureFlow,,,22.67,24.27,22.94,100,0.12,GPU @ 2.5 Ghz (LUA/Torch),,,1
68,MotionSLIC,,code,14.86,64.44,23.11,100,30,4 cores @ 2.5 Ghz (C/C++),,1,
69,IntrpNt-cpm,,code,22.51,26.54,23.18,100,5.6,GPU @ 2.5 Ghz (Python),,,1
70,FullFlow,,,23.09,24.79,23.37,100,240,4 cores @ >3.5 Ghz (Matlab and C++),,1,
71,HiLM,,,23.73,21.79,23.41,100,8,P6000 (C/C++),,,1
72,IntrpNt-dm,,code,23.46,26.27,23.93,100,15,GPU @ 2.5 Ghz (Python),,,1
73,SPM-BP,,,24.06,24.97,24.21,100,10,2 cores @ 2.5 Ghz (C/C++),,1,
74,PPM,,code,25.87,23.67,25.5,100,17.3,1 core @ 2.5 Ghz (C/Chttps://github.c++),1,,
75,3DFlow,,,25.56,29.33,26.19,100,480,4 cores @ >3.5 Ghz (C/C++),,1,
76,EpicFlow,,code,25.81,28.69,26.29,100,15,1 core @ >3.5 Ghz (C/C++),1,,
77,DeepFlow,,code,27.96,31.06,28.48,100,17,1 core @ >3.5 Ghz (Python + C/C++),1,,
78,DeGraF-Flow,,,28.78,29.69,28.94,100,3.2,4 cores @ 2.5 Ghz (C/C++),,1,
79,CPNFlow-occ,,,31.05,27.16,30.4,100,0.1,GPU @ 1.5 Ghz (Python),,,1
80,IIOF-NLDP,,,30.23,32.44,30.6,100,350,4 cores @ 3.5 Ghz (Matlab + C/C++),,1,
81,DMF_ROB,,code,30.74,30.07,30.63,100,150,1 core @ 2.5 Ghz (C/C++),1,,
82,CPNFlow,,,32.57,22.36,30.87,100,0.1,GPU @ 1.5 Ghz (Python),,,1
83,WCT,,,34.01,27.48,32.92,100,9,2 cores @ 2.5 Ghz (C/C++),,1,
84,SPyNet,,code,33.36,43.62,35.07,100,0.16,1 core @ 2.5 Ghz (C/C++),1,,
85,SGM+C+NL,,code,34.24,42.46,35.61,93.83,270,1 core @ 2.5 Ghz (C/C++),1,,
86,DWBSF,,,40.74,31.16,39.14,100,420,4 cores @ 3.5 Ghz (C/C++),,1,
87,SGM+LDOF,,code,40.81,31.92,39.33,95.89,86,1 core @ 2.5 Ghz (C/C++),1,,
88,HS,,code,39.9,51.39,41.81,100,156,1 core @ 3.0 Ghz (Matlab),1,,
89,AC,,,44.13,42.94,43.93,100,0.1,GPU @ 2.5 Ghz (Python),,,1
90,WOLF_ROB,,,42.58,53.31,44.36,100,0.02,GPU @ 2.5 Ghz (Python),,,1
91,GCSF,,code,47.38,41.5,46.4,100,2.4,1 core @ 2.5 Ghz (C/C++),1,,
92,DB-TV-L1,,code,47.52,48.27,47.64,100,16,1 core @ 2.5 Ghz (Matlab),1,,
93,VSF,,code,50.06,45.4,49.28,100,7500,1 core @ 2.5 Ghz (C/C++),1,,
94,HAOF,,code,49.89,50.74,50.04,100,16.2,1 core @ 2.5 Ghz (C/C++),1,,
95,TVL1_ROB,,code,51.15,51.12,51.14,100,3,4 cores @ 2.5 Ghz (C/C++),,1,
96,PolyExpand,,,52,58.56,53.09,100,1,1 core @ 2.5 Ghz (C/C++),1,,
97,Weberflow,,,55.04,79.44,59.1,100,9,2 cores @ 2.5 Ghz (Matlab),,1,
98,H+S_ROB,,code,68.22,76.49,69.6,100,8,4 cores @ 2.5 Ghz (C/C++),,1,
99,Pyramid-LK,,code,71.84,76.82,72.67,100,90,1 core @ 2.5 Ghz (Matlab),1,,
100,MEDIAN,,,87.37,92.8,88.27,99.86,0.01,1 core @ 2.5 Ghz (C/C++),1,,
101,AVERAGE,,,88.47,92.08,89.07,99.86,0.01,1 core @ 2.5 Ghz (C/C++),1,,
102,AVG_FLOW_ROB,,,89.48,92.6,90,100,0.01,1 core @ 2.5 Ghz (C/C++),1,,
103,UFT,,,96.1,97.07,96.26,1.55,0.8,1 core @ 2.5 Ghz (C/C++),1,,
